"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.315784500E0,-2.754931450E0,1.671042633E1,-3.054358292E1
3.325723500E0,-2.562099457E0,1.711695862E1,-3.041086197E1
3.335662500E0,-2.414693594E0,1.725639343E1,-3.022785187E1
3.345601500E0,-2.362414122E0,1.742771530E1,-3.046065140E1
3.355540500E0,-2.227065802E0,1.795900345E1,-3.044269180E1
3.365479500E0,-2.098509312E0,1.810858917E1,-3.016576004E1
3.375418500E0,-1.895430326E0,1.829164124E1,-3.018527603E1
3.385357500E0,-1.792756319E0,1.833289719E1,-3.003832245E1
3.395296500E0,-1.651099682E0,1.838587952E1,-2.990615845E1
3.405235500E0,-1.487082720E0,1.867580414E1,-2.970211792E1
3.415174500E0,-1.297402620E0,1.874892044E1,-2.946672440E1
3.425113500E0,-1.196806431E0,1.892483521E1,-2.958837891E1
3.435052500E0,-1.065598249E0,1.917031860E1,-2.957667542E1
3.444991500E0,-9.460904598E-1,1.926635361E1,-2.972614670E1
3.454930500E0,-9.674761295E-1,1.946490097E1,-2.962345123E1
3.464869500E0,-8.669679165E-1,1.957085037E1,-2.956922531E1
3.474808500E0,-7.990975380E-1,1.977131271E1,-2.965115356E1
3.484747500E0,-5.928554535E-1,1.975120163E1,-2.956304932E1
3.494686500E0,-5.928554535E-1,1.975120163E1,-2.956304932E1
3.504625500E0,-5.733346939E-1,1.993536377E1,-2.959161758E1
3.514563500E0,-3.742055893E-1,1.992063141E1,-2.965058136E1
3.524502500E0,-2.214488983E-1,2.013619995E1,-2.956287766E1
3.534441500E0,-3.606300354E-1,2.009484482E1,-2.937235260E1
3.544380500E0,-2.008948326E-1,2.010652161E1,-2.941308594E1
3.554319500E0,-1.348066330E-2,2.016814804E1,-2.944945908E1
3.564258500E0,-1.151371002E-1,2.033293152E1,-2.920735550E1
3.574197500E0,-3.168964386E-2,2.037534714E1,-2.926498795E1
3.584136500E0,6.954240799E-2,2.029250336E1,-2.929927063E1
3.594075500E0,1.156883240E-1,2.035885239E1,-2.922414780E1
3.604014500E0,8.596563339E-2,2.046508408E1,-2.895197296E1
3.613953500E0,5.634021759E-2,2.046977615E1,-2.912081528E1
3.623892500E0,1.094202995E-1,2.063261414E1,-2.880295563E1
3.633831500E0,6.937980652E-2,2.065326309E1,-2.871488953E1
3.643770500E0,1.540555954E-1,2.071085739E1,-2.884556580E1
3.653709500E0,2.454519272E-1,2.076064301E1,-2.887351227E1
3.663648500E0,6.215047836E-2,2.074458694E1,-2.880559921E1
3.673587500E0,1.974411011E-1,2.074597549E1,-2.870476913E1
