"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.865108125E0,5.318440247E-1,4.957690430E-1,1.007674530E1,1.010294219E1
2.875047125E0,3.832031250E-1,4.087998962E-1,9.545050964E0,9.561483143E0
2.884986125E0,9.145980835E-2,2.704875183E-1,9.424850922E0,9.429175112E0
2.894925125E0,-2.011816406E-1,2.448907471E-1,9.706116028E0,9.711288991E0
2.904864125E0,-5.719606018E-1,3.465293884E-1,9.547296295E0,9.570689008E0
2.914803125E0,-8.743318176E-1,5.186714172E-1,9.474397888E0,9.528782268E0
2.924742125E0,-1.179996185E0,7.529342651E-1,9.646839294E0,9.747861785E0
2.934681125E0,-1.241967316E0,8.502319336E-1,9.718091125E0,9.833955068E0
2.944620125E0,-1.112935638E0,7.206015015E-1,9.816436615E0,9.905570154E0
2.954559125E0,-8.315208435E-1,7.608677673E-1,9.439071350E0,9.506125111E0
2.964498125E0,2.754272461E-2,9.205856323E-1,9.558373260E0,9.602642131E0
2.974437125E0,1.051862640E0,9.687854004E-1,1.004890320E1,1.015014363E1
2.984376125E0,1.513053589E0,1.016985168E0,1.031355286E1,1.047344082E1
2.994315125E0,1.328786774E0,1.141226807E0,9.729617157E0,9.886026651E0
3.004254125E0,1.013841705E0,1.088536377E0,9.733209686E0,9.846225533E0
3.014193125E0,6.366261292E-1,1.000220032E0,9.926158447E0,9.996717184E0
3.024132125E0,-5.897735596E-2,1.019080811E0,9.877808990E0,9.930413611E0
3.034070125E0,-6.616241455E-1,1.049916687E0,1.007225464E1,1.014841786E1
3.044009125E0,-8.235873413E-1,1.011596375E0,1.022673340E1,1.030959259E1
3.053948125E0,-6.713539124E-1,1.025816803E0,1.009605515E1,1.017021857E1
3.063887125E0,-6.123765564E-1,7.053332520E-1,1.037043457E1,1.041241630E1
3.073826125E0,-7.225474548E-1,2.448907471E-1,1.028870453E1,1.031695145E1
3.083765125E0,-6.140231323E-1,-2.294728088E-1,9.822124786E0,9.843973664E0
3.093704125E0,-1.775308228E-1,-8.460406494E-1,9.999805298E0,1.003710157E1
3.103643125E0,4.020639038E-1,-1.162781982E0,1.007554779E1,1.015038820E1
3.113582125E0,1.187779999E0,-1.171164551E0,1.002435425E1,1.016219100E1
3.123521125E0,1.579365692E0,-1.115031281E0,1.005803421E1,1.024215519E1
3.133460125E0,1.096469879E0,-1.231189728E0,9.859546967E0,9.996436401E0
3.143399125E0,4.432283020E-1,-1.341510315E0,9.461075592E0,9.565984142E0
3.153338125E0,-2.426454163E-1,-1.537602539E0,9.509275360E0,9.635840194E0
3.163277125E0,-9.310638428E-1,-1.880988464E0,9.783804474E0,1.000638933E1
3.173216125E0,-1.232985992E0,-2.039658508E0,9.725725250E0,1.001350053E1
3.183155125E0,-9.744735718E-1,-1.791624298E0,9.626781006E0,9.840448613E0
3.193094125E0,-5.345384216E-1,-1.606758728E0,9.813293152E0,9.958319508E0
