"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.704043583E0,-1.484313354E0,1.811233521E-2,1.065229843E1,1.075523017E1
2.713982583E0,-1.567839661E0,4.243675232E-1,9.996961212E0,1.012805225E1
2.723921583E0,-1.445543976E0,6.286926270E-1,9.413773956E0,9.544841115E0
2.733861583E0,-1.364562378E0,5.641767883E-1,8.963959351E0,9.084761591E0
2.743800583E0,-1.227896576E0,3.891906738E-1,8.879983978E0,8.972921199E0
2.753739583E0,-1.038091278E0,2.056723022E-1,9.117689667E0,9.178899687E0
2.763678583E0,-8.726852417E-1,5.269042969E-2,9.483379211E0,9.523593706E0
2.773617583E0,-6.875202942E-1,-5.553451538E-2,9.768087158E0,9.792410069E0
2.783557583E0,-4.966671753E-1,-1.194515991E-1,9.829609222E0,9.842873789E0
2.793496583E0,-4.411326599E-1,-1.037342834E-1,9.639654236E0,9.650300131E0
2.803435583E0,-3.282673645E-1,-5.254074097E-2,9.497449951E0,9.503266574E0
2.813374583E0,-2.856060791E-1,3.173400879E-2,9.433532867E0,9.437908679E0
2.823313583E0,-2.044747925E-1,1.258882141E-1,9.444609833E0,9.447661757E0
2.833253500E0,-2.290237427E-2,6.421646118E-2,9.559870148E0,9.560113258E0
2.843192500E0,2.856060791E-1,-1.646575928E-1,9.742191010E0,9.747767366E0
2.853131500E0,6.620732117E-1,-3.824546814E-1,9.998009033E0,1.002720286E1
2.863070500E0,9.626481628E-1,-5.245092773E-1,1.022673340E1,1.028532340E1
2.873009500E0,1.032852173E0,-5.409750366E-1,1.039872574E1,1.046388716E1
2.882949500E0,9.005273438E-1,-4.966671753E-1,1.044183609E1,1.049235763E1
2.892888500E0,7.689509583E-1,-3.842509460E-1,1.039139099E1,1.042688549E1
2.902827500E0,7.445516968E-1,-2.694396973E-1,1.038136185E1,1.041151424E1
2.912766500E0,6.611750793E-1,-1.914518738E-1,1.031400192E1,1.033694549E1
2.922705500E0,4.581971741E-1,-1.224453735E-1,1.028645920E1,1.029738706E1
2.932645500E0,3.972738647E-1,-1.022373962E-1,1.021356079E1,1.022179549E1
